Senator,Photo,County,Party,Status
Sen. Iman Falhada Dekow,http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/87a7ff7a4a8fb0e9da560f1cfab2bbd7_M.jpg,N\/A,JP,Nominated
Sen. Kabaka Boniface Mutinda,http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/de22ba29164cd345f1525b433b4de729_M.jpg,Machakos,CCU,Elected
Sen. Kajwang’ Moses Otieno,http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/75c9e484a584dcf8cadef40577ad1f28_M.jpg,Homa Bay,ODM,Elected
Sen. Kamar Margaret Jepkoech,http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2018-10/Photo%20for%20website.jpg,Uasin Gishu,JP,Elected
Sen. Kang’ata Irungu,http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/69fe78446c890576263dc762460b71ba_M.jpg,Murang\u2019a,N\/A,Elected
Sen. Kasanga Sylvia Mueni,http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/63e53c5a0a578af2915bca6ca3be5646_M.jpg,N\/A,WDM-K,Nominated
Sen. Khaniri George,http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/22f4ea961711bcef2dcb95904ab7d319_M.jpg,Vihiga,N\/A,Elected
Sen. Kibiru Charles Reubenson,http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/b6d3c040c822ea2760689bd68755158a_M.jpg,Kirinyaga,IND,Elected
Sen. Kihika Susan Wakarura,http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2018-10/SEN%20KIHIKA%20PHOTO.JPG,Nakuru,JP,Elected
Sen. Kilonzo Mutula Junior,http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/81460f786448ef802384de7a22471134_M.jpg,Makueni,WDM-K,Elected
Sen. Kimani Wamatangi Paul,http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/a6eab51a7068cefac7709d0e968987f7_M.jpg,Kiambu,JP,Elected
Sen. Kindiki Kithure,http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/e2e115291caecd139c30bfc952dfef42_M.jpg,Tharaka Nithi,N\/A,Elected
