Member of Parliament,Photo,County,Constituency,Party,Status
"Hon. Leshoomo, Maison",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/f6f60bca57a307b0a8335b4c2aabc72c_M.jpg,Samburu,Samburu,KANU,Elected
"Hon. Lessonet, Moses K.",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/d975d352a3946dff3e435c75b58b4538_M.jpg,Baringo,Eldama Ravine,JP,Elected
"Hon. Lesuuda, Josephine Naisula",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/cd0e81ab26f554fcc1d1545c3b911154_M.jpg,Samburu,Samburu West,KANU,Elected
"Hon. Limo, Kirui Joseph",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/3ad8a93d69f0d23db55fddb7a3241ed2_M.jpg,Kericho,Kipkelion East,JP,Elected
"Hon. Liza, Chelule Chepkorir",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/3793b7e33956f452215e5447180502e1_M.jpg,Nakuru,Nakuru,JP,Elected
"Hon. Lochakapong, Peter",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/da497ded6b58ebe690c1a1ad4e7cb3a9_M.jpg,West Pokot,Sigor,JP,Elected
"Hon. Lomorukai, Jeremiah Ekamais",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/a968d988da3b5623e52a9338e2760928_M.jpg,Turkana,Loima,ODM,Elected
"Hon. Lomunokol, Mark",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/b5b911d9cf2a6c396203842ba429d5ba_M.jpg,West Pokot,Kacheliba,PDR,Elected
"Hon. Luyai, Caleb Amisi",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/67fe64e2f26a1adfd23a6bb5094d9921_M.jpg,Trans-Nzoia,Saboti,ODM,Elected
"Hon. Maanzo, Daniel Kitonga",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/272afcf7fec66e45774ad9a2da6df643_M.jpg,Makueni,Makueni,WDM-K,Elected
"Hon. Mabonga, Moses Wekesa Mwambu",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2019-02/WhatsApp%20Image%202019-02-21%20at%2014.12.49.jpeg,Bungoma,Bumula,IND,Elected
"Hon. Makokha, Justus Murunga",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/b457c0017d1721e3652b5a778416af89_M.jpg,Kakamega,Matungu,ANC,Elected
"Hon. Manje, Joseph Wathigo",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/666186747472cea2e8b7b44fd124836d_M.jpg,Kajiado,Kajiado North,JP,Elected
"Hon. Maoka, Richard Maore",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/ee942152895ab17379319f19b18980a9_M.jpg,Meru,Igembe North,JP,Elected
"Hon. Mariru, Patrick Kariuki",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/34fd4e0b469b2ccdf7f11c99e7d372b6_M.jpg,Laikipia,Laikipia West,JP,Elected
"Hon. Maritim, Sylvanus",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/4bfe9873ff58983fca7af755db4ae8e4_M.jpg,Kericho,Ainamoi,JP,Elected
"Hon. Masadia, Alfred Agoi",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/7915731e4e19ceea4d73d26bebb0d76a_M.jpg,Vihiga,Sabatia,ANC,Elected
"Hon. Masara, Peter Francis",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2019-07/WhatsApp%20Image%202019-07-04%20at%2013.27.58.jpeg,Migori,Suna West,IND,Elected
"Hon. Mawathe, Julius Musili",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/e94c9fec1d4737ab646df2330968a9dc_M.jpg,Nairobi,Embakasi South,WDM-K,Elected
"Hon. Mbai, Nimrod Mbithuka",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/18a30248707b02ced05d1e20645ce489_M.jpg,Kitui,Kitui East,JP,Elected
"Hon. Mbalu, Jessica Nduku Kiko",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/db6d8759d923145272110190aa661283_M.jpg,Makueni,Kibwezi East,WDM-K,Elected
"Hon. Mbarire, Cecily",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/e62c5a16916906b4dcc06f9443575a5c_M.jpg,N\/A,Nominated,JP,Nominated
"Hon. Mbiuki, Japhet Miriti Kareke",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/05372347c9cef3383a926462463047c8_M.jpg,Tharaka-Nithi,Maara,JP,Elected
"Hon. Mbogo, Ali Menza",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/5aa798659041a7adb924f828cf0b7c17_M.jpg,Mombasa,Kisauni,WDM-K,Elected
"Hon. Mboko, Mishi Juma Khamisi",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/c6834ff6846b4e9fabf44cbbbe734bae_M.jpg,Mombasa,Likoni,ODM,Elected
"Hon. Mboni, David Mwalika",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/f6594de3cb599e60cb8a7e426b64b0ca_M.jpg,Kitui,Kitui Rural,CCU,Elected
"Hon. Mbui, Robert",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/c8bc579716d220284dabf41e7ca6a091_M.jpg,Machakos,Kathiani,WDM-K,Elected
"Hon. Milemba, Jeremiah Omboko",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/c1667055b4667ffdd5b09e569b37e5d5_M.jpg,Vihiga,Emuhaya,ANC,Elected
"Hon. Mishra, Swarup Ranjan",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/f9fbc54627494d6ca586c60b370d6414_M.jpg,Uasin Gishu,Kesses,JP,Elected
"Hon. Mizighi, Lydia Haika Mnene",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/1133cfc56b1bf70c27f631bd8c3c835d_M.jpg,Taita Taveta,Taita Taveta,JP,Elected
"Hon. Mlolwa, Jones Mwagogo",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/e68080f5317e776c361ceb03623476de_M.jpg,Voi,Voi,ODM,Elected
"Hon. Mogaka, Vincent Kemosi",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/4ffe4c55e2862ec13bd51ae5d98195aa_M.jpg,Nyamira,West Mugirango,FORD-K,Elected
"Hon. Mohamed, Abdikhaim Osman",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/ac3087196275113f2b5554030333c964_M.jpg,Garissa,Fafi,KANU,Elected
"Hon. Mohamed, Ahmed Kolosh",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/8ecba96dffb0e9e3fa11255471375ec8_M.jpg,Wajir,Wajir West,ODM,Elected
"Hon. Mohamed, Asha Hussein",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/b59bbc536b03252f3860595000450d51_M.jpg,Mombasa,Mombasa,ODM,Elected
"Hon. Mohamed, Mohamed Ali",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/852c2fa5e5468761c3ae8b796ca9be85_M.jpg,Mombasa,Nyali,IND,Elected
"Hon. Mohammed, Lokiru Ali",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/2add8384f1661c58873d6d3aebb128ac_M.jpg,Turkana,Turkana East,ODM,Elected
"Hon. Mohammed, Mohamud Sheikh",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/d1495fd50aec8a7f22f99ef1d7dfe1a1_M.jpg,Wajir,Wajir South,JP,Elected
"Hon. Moi, Kipruto",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/e5f13757360abae96edaf4672d276461_M.jpg,Kajiado,Rongai,KANU,Elected
"Hon. Momanyi, Ben George Orori",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/54d2b8d82508951e326f978814425351_M.jpg,Nyamira,Borabu,WDM-K,Elected
"Hon. Momanyi, Jerusha Mongina",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/643c25a4835bc55ae5bec094d51b8381_M.jpg,Nyamira,Nyamira,JP,Elected
"Hon. Mose, Shadrack John",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/1babebb6e3082b7c74215afaef8a900c_M.jpg,Nyamira,Kitutu Masaba,JP,Elected
"Hon. Muchira, Michael Mwangi",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/39cbec347225b2c21c5ceb40381af16c_M.jpg,Nyandarua,Ol Jorok,JP,Elected
"Hon. Muchira, Michael Mwangi",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/39cbec347225b2c21c5ceb40381af16c_M.jpg,Nyandarua,Ol Jorok,JP,Elected
"Hon. Mugambi, James Gichuki",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/7a2b676bb85d1be84ddcbc1aa8d36513_M.jpg,Nyeri,Othaya,JP,Elected
"Hon. Muhanda, Elsie Busihile",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/548d41fc70d47d3bf3dafd1fd364ee6b_M.jpg,Kakamega,Kakamega,ODM,Elected
"Hon. Mukhwana, Titus Khamala",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/ef53d18ea3f2390ab2b101ee9426bf01_M.jpg,Kakamega,Lurambi,ANC,Elected
"Hon. Mukuha, Gabriel Kago",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/377731d40ea33c1c7cdc23e7ace5e053_M.jpg,Kiambu,Githunguri,JP,Elected
"Hon. Mukwe, James Lusweti",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/dda224f5f73f8293718cc39912ac22e5_M.jpg,Bungoma,Kabuchai,FORD-K,Elected
"Hon. Mule, Stephen Mutinda",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/7b9d41e68c1d4d315e896b5e82209a87_M.jpg,Machakos,Matungulu,WDM-K,Elected
"Hon. Muli, Fabian Kyule",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/1d10e97ee6299d36828eddc9f92530e2_M.jpg,Machakos,Kangundo,MUUNGANO,Elected
"Hon. Mulu, Benson Makali",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/f641f67efa680afb475bb32af1ab6c16_M.jpg,Kitui,Kitui Central,WDM-K,Elected
"Hon. Mulyungi, Gideon Mutemi",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/72700a14a2a02b35fe25ed088f8895bc_M.jpg,Kitui,Mwingi Central,WDM-K,Elected
"Hon. Mumo, Rose Museo",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/52188659ef88a401b1213c4a355f83e3_M.jpg,Makueni,Makueni,WDM-K,Elected
"Hon. Munyaka, Victor Kioko",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/635d0a11c7b39cba615275bd75b58c0e_M.jpg,Machakos,Machakos Town,JP,Elected
"Hon. Murgor, James Kipkosgei",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/5c91d269c799df7f54bd4efd5c3d493b_M.jpg,Elgeyo-Marakwet,Keiyo North,JP,Elected
"Hon. Murugara, George Gitonga",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/dc1d6f777886429c4e95ddd8c1ab062e_M.jpg,Tharaka-Nithi,Tharaka,DP,Elected
"Hon. Murungi, Kathuri",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/27ae4a7fde52e0f0f4b3f6507837c4eb_M.jpg,Meru,South Imenti,IND,Elected
"Hon. Musau, Vincent Musyoka",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/f7333766001349d91d9a4030b2201a2e_M.jpg,Machakos,Mwala,MCCP,Elected
"Hon. Musimba, Patrick Mweu",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/a5fe069d96534a42c0b2ab6d9d74598d_M.jpg,Makueni,Kibwezi West,IND,Elected
"Hon. Mutai, Japheth Kiplangat",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/dfd56ec516270ddb1a6acdd0b88948d4_M.jpg,Kericho,Bureti,JP,Elected
"Hon. Muthama, Stanley Muiruri",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/e2ad8b69042b9b1779ce7d6a5fa4d265_M.jpg,Lamu,Lamu West,MCCP,Elected
"Hon. Mutua, Didmus Wekesa Barasa",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/b278cbdaf7c839ab95dcc8c220ab1eb7_M.jpg,Bungoma,Kimilili,JP,Elected
"Hon. Mutua, Florence Mwikali",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/dfa5bd35ee353a18219b16bd4f1ed9c3_M.jpg,Busia,Busia,ODM,Elected
"Hon. Mutunga, John Kanyuithia",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/d746d8fb171ad62b07b108cdd1b7986c_M.jpg,Meru,Tigania West,JP,Elected
"Hon. Muturi, Geoffrey Kingagi",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/a8a60643bafa0307d300af23aba7c13b_M.jpg,Embu,Mbeere South,JP,Elected
"Hon. Mwadime, Andrew",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/68904008f966ea86ffdacaa829261e3d_M.jpg,Taita Taveta,Mwatate,ODM,Elected
"Hon. Mwakuwona, Danson Mwashako",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/3e4b3d256a2531e5e21a869496b34598_M.jpg,Taita Taveta,Wundanyi,WDM-K,Elected
"Hon. Mwale, Nicholas Scott Tindi",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/1853390e25be66b39b7e605f6bd79cbb_M.jpg,Kakamega,Butere,ANC,Elected
"Hon. Mwalyo, Joshua Mbithi",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/0eba82086d309eaeb0c5011201911b1a_M.jpg,Machakos,Masinga,WDM-K,Elected
"Hon. Mwambire, Teddy Ngumbao",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/26a8595bb1d20a9361ae1165668813f8_M.jpg,Kilifi,Ganze,ODM,Elected
"Hon. Mwamkale, William Kamoti",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/cc1343f4bf58ce9d4e32f3a11e5bec16_M.jpg,Kilifi,Rabai,ODM,Elected
"Hon. Mwangaza, Kawira",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/dcbcc53d33478b7f38471d5dbbe6eecc_M.jpg,Meru,Meru,IND,Elected
"Hon. Mwangi, Benjamin Gathiru",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/e91f5df61683ad642f80f8746e777635_M.jpg,Nairobi,Embakasi Central,JP,Elected
"Hon. Mwangi, James Gichuhi",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/e3ef4446c24c2b9192ff481ba246ca12_M.jpg,Nyeri,Tetu,JP,Elected
"Hon. Mwangi, Jonah Mburu",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/1710039b773a156fdc79812b49212f3e_M.jpg,Kiambu,Lari,JP,Elected
"Hon. Mwaniki, Ruth W.",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/78d3f08868d2b2dab244209bac283fa2_M.jpg,Murang'a,Kigumo,JP,Elected
"Hon. Mwanyanje, Gertrude Mbeyu",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/2c76be6100f94fcbc7b01029a02f2e20_M.jpg,Kilifi,Kilifi,ODM,Elected
"Hon. Mwashetani, Khatib Abdallah",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/815594ee7850f83c34de8dafc6ed2b26_M.jpg,Kwale,Lungalunga,JP,Elected
"Hon. Mwathi, Peter Mungai",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/719fb666b0ace48aca3c20e8ba12e1b2_M.jpg,Kiambu,Limuru,JP,Elected
"Hon. Mwirigi, John Paul",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/833cb7b8d4faef1124c12c2fcc377ccd_M.jpg,Meru,Igembe South,IND,Elected
"Hon. M’mbaya, Justus Gesito Mugali",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/798af74e083f2c49d397b5a47f7e4452_M.jpg,Kakamega,Shinyalu,ODM,Elected
"Hon. Naicca, Johnson Manya",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/7aed15c0eec6780801cf15fe872dd63a_M.jpg,Kakamega,Mumias West,ODM,Elected
"Hon. Nakara, John Lodepe",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/13cf665de00e3d3ffc61de183a9459cd_M.jpg,Turkana,Turkana Central,ODM,Elected
"Hon. Nakuleu, Christopher Doye",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/1d74f72896ceee72d213abc42e174515_M.jpg,Turkana,Turkana North,JP,Elected
"Hon. Nanok, Daniel Epuyo",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/8bcad8f505be89b6084318a70084a542_M.jpg,Turkana,Turkana West,JP,Elected
"Hon. Nanok, Daniel Epuyo",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/8bcad8f505be89b6084318a70084a542_M.jpg,Turkana,Turkana West,JP,Elected
"Hon. Nassir, Abdullswamad Sheriff",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/e027c4032dd7e9a75b2ece7beabff93c_M.jpg,Mombasa,Mvita,ODM,Elected
"Hon. Ndirangu, Isaac Waihenya",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/f58a2c3db8ae4635490262c0d46e8c26_M.jpg,Nairobi,Roysambu,JP,Elected
"Hon. Ng'ongo, Mbadi John",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/504bf178a85581616511d04d1ecf3494_M.jpg,Homa Bay,Suba South,ODM,Elected
"Hon. Ngirici, Purity Wangui",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/8e0b77fbc9ff40024476dada4337e4e5_M.jpg,Kirinyaga,Kirinyaga,JP,Elected
"Hon. Ngugi, Joseph Nduati",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/a8c5f873636bfa50a3430fb69e587265_M.jpg,Murang'a,Gatanga,JP,Elected
"Hon. Nguna, Charles Ngusya",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/5b74654ec36fd487c37a4827a65a7e86_M.jpg,Kitui,Mwingi West,WDM-K,Elected
"Hon. Ngunjiri, Onesmas Kimani",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/901250b7663e25ea6e0926b8ec942be1_M.jpg,Nakuru,Bahati,JP,Elected
"Hon. Njagagua, Charles Muriuki",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/d3f6f7ce604e372317182d1f9bbbf284_M.jpg,Embu,Mbeere North,JP,Elected
"Hon. Njagua, Charles Kanyi",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/afadd473a386b03697928b337d04f31e_M.jpg,Nairobi,Starehe,JP,Elected
"Hon. Njiru, Eric Muchangi",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/472bc744c50d55efb981580cb709427a_M.jpg,Embu,Runyenjes,JP,Elected
"Hon. Njiru, Jane Wanjuki",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/b4594c497ca6870fb60b146391a6f838_M.jpg,Embu,Embu,JP,Elected
"Hon. Njomo, Jude L. Kangethe",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/5ee4c505b6eebc63c100d449f7b255f4_M.jpg,Kiambu,Kiambu,JP,Elected
"Hon. Njoroge, Mary Wamaua Waithira",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/b733bb99c3fbcf2996843c5cb1dcaff2_M.jpg,Murang'a,Maragwa,JP,Elected
"Hon. Noor, Sophia Abdi",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/4026a63af062853bf799402d5ce8de9e_M.jpg,Garissa,Ijara,PDR,Elected
"Hon. Ntwiga, Patrick Munene",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/240105bef6ad8437498bbb0b2459e1c4_M.jpg,Tharaka-Nithi,Chuka\/Igambang'ombe,JP,Elected
"Hon. Nuh, Junet Sheikh",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/cb0a7144eba907ac785c88f0e0fc98bf_M.jpg,Migori,Suna East,ODM,Elected
"Hon. Nyaga, Beatrice Nkatha",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/178c309727ebc158483dbf79ec491077_M.jpg,Tharaka-Nithi,Tharaka-Nithi,JP,Elected
"Hon. Nyaga, John Muchiri",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/bb93b74d4345cacbf493dcdcee0d7953_M.jpg,Embu,Manyatta,JP,Elected
"Hon. Nyamai, Rachael Kaki",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/b038186ec492989d9c0c508951d41fd3_M.jpg,Kitui,Kitui South,JP,Elected
"Hon. Nyamita, Mark Ogolla",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/140f23040038d34f840b3bb9672ae194_M.jpg,Migori,Uriri,ODM,Elected
"Hon. Nyamoko, Joash Nyamache",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/a1fc46601e6b465b4844397b42bd8d00_M.jpg,Migori,North Mugirango,JP,Elected
"Hon. Nyenze, Edith",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/6deb710371919573f87f769ac8aef1d5_M.jpg,Kitui,Kitui West,WDM-K,Elected
"Hon. Nyikal, James Wambura",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/31d3d648bcd5264f68bcb78a6a92b36d_M.jpg,Kisumu,Seme,ODM,Elected
"Hon. Nyoro, Samson Ndindi",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/9acd39673b78814c9bb85f14f62c5956_M.jpg,Murang'a,Kiharu,JP,Elected
"Hon. Nzambia, Thuddeus Kithua",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/d2fb689e74a907951fbcf16d13cc9a19_M.jpg,Makueni,Kilome,WDM-K,Elected
"Hon. Nzengu, Paul Musyimi",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/eaf80b1a3859e30c573d8d43cac3c5c9_M.jpg,Kitui,Mwingi North,WDM-K,Elected
"Hon. Nzioka, Erastus Kivasu",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/670a551652ad7bb3913c64d9f97e24df_M.jpg,Makueni,Mbooni,ND,Elected
"Hon. Obara, Eve Akinyi",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/920ff72ebfa161115e98757aa3802606_M.jpg,Homa Bay,Kabondo Kasipul,ODM,Elected
"Hon. Obiri, Innocent Momanyi",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/a7869d52404fd702fc548a5b18a8197d_M.jpg,Kisii,Bobasi,PDP,Elected
"Hon. Obo, Ruweida Mohamed",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/6c708d6c888e47baed2644b0e165e179_M.jpg,Lamu,Lamu,JP,Elected
"Hon. Ochieng, Pamela Awuor",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/0beec8a3c07f810af132f7222f579164_M.jpg,Migori,Migori,ODM,Elected
"Hon. Odanga, Geoffrey Makokha",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/0328d8d74f003cee4220076b387f07c5_M.jpg,Busia,Matayos,ODM,Elected
"Hon. Odege, Tom Mboya",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/728c7bd3d567246695d7c67c13ea65c9_M.jpg,Migori,Nyatike,ODM,Elected
"Hon. Odhiambo, Elisha Ochieng",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/ec0d7266e8fd8dce1681592f050d4ee5_M.jpg,Siaya,Gem,ODM,Elected
"Hon. Odhiambo, Millie Grace Akoth",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/aadb86f1863232600e988ff374df22ef_M.jpg,Homa Bay,Suba North,ODM,Elected
"Hon. Oduol, Prof. Jacquiline Adhiambo",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/ce86d91b5d90541814c162e51d434f67_M.jpg,N\/A,N\/A,ODM,Nominated
"Hon. Oduor, Christine Ombaka",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/58ecdbe2c2e962e11df1ffdb91c5d803_M.jpg,Siaya,Siaya,ODM,Elected
"Hon. Ogolla, Gideon Ochanda",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/9887688ac763d8913b4fac3b6273b728_M.jpg,Siaya,Bondo,ODM,Elected
"Hon. Ogutu, Zadoc Abel",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/c44b3abd57ccfbc620ba9eaafbc28bd6_M.jpg,Kisii,Bomachoge Borabu,IND,Elected
"Hon. Okelo, Jared Odoyo",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/7f811f32f53a4a14ebe64edebd144cae_M.jpg,Kisumu,Nyando,ODM,Elected
"Hon. Okoth, Kenneth Odhiambo",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/14fd397550128b5877b8fb44f4a660a6_M.jpg,Nairobi,Kibra,ODM,Elected
"Hon. Okuome, Andrew Adipo",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/4a1cb8361d8fdf0e30084cb435417167_M.jpg,Homa Bay,Karachuonyo,ODM,Elected
"Hon. Ole Kenta, Richard Moitalel",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/a1e3dec9d5a3ddbb03219cadb44416fc_M.jpg,Narok,Narok North,ODM,Elected
"Hon. Ole Lemein, Korei",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/bc9e3f040a8725cab88bdc0146b92bf5_M.jpg,Narok,Narok South,JP,Elected
"Hon. Ole Metito, Katoo Judah",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/8cdfe61457f16442e8acf54df5822c40_M.jpg,Kajiado,Kajiado South,JP,Elected
"Hon. Ole Sankok, David",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/9a2757f5f85ebf752392bd550a63e0fb_M.jpg,N\/A,N\/A,JP,Nominated
"Hon. Oluoch, Anthony Tom",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/44607df985458ea0a6092b6ca2cd08f8_M.jpg,Nairobi,Mathare,ODM,Elected
"Hon. Ombaki, Ezekiel Machogu",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/162542c63974f866af57eea7ccaad819_M.jpg,Kisii,Nyaribari Masaba,NAPK,Elected
