Member of Parliament,Photo,County,Constituency,Party,Status
"Hon. Chege, Maitu Sabina Wanjiru",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/3263c0e8877a411d722992596dbaa3df_M.jpg,Murang\u2019a,Murang'a,JP,Elected
"Hon. Chepkoech, Joyce Korir",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/88c9db60db08f693776a4a523f26de7b_M.jpg,Bomet,Bomet,JP,Elected
"Hon. Chepkut, William Kamuren Chirchir",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/91154518c6f0cafa827116d9e4363014_M.jpg,Uasin Gishu,Ainabkoi,IND,Elected
"Hon. Chepkwony, Charity Kathambi",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/b88a066c55eab9737c73b04fcc6006a1_M.jpg,Nakuru,Njoro,JP,Elected
"Hon. Cheruiyot, Gladwell Jesire",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/e3098320bc9e754479592595bffb1b21_M.jpg,Baringo,Baringo,KANU,Elected
"Hon. Chesebe, Fred Kapondi",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/67d1eae3e9598f9411cacd63103dd8a9_M.jpg,Bungoma,Mt. Elgon,JP,Elected
"Hon. Chumel, Samwel Moroto",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/1bbaad13db4af2c2ee70cb76148e9d8a_M.jpg,West Pokot,Kapenguria,JP,Elected
"Hon. Dawood, Abdul Rahim",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/fc22a1b66ed7e8dc368c09f8c417e025_M.jpg,Meru,North Imenti,JP,Elected
"Hon. Duale, Aden Bare",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/eda88fd0c704e7516b7954c21650310b_M.jpg,Garissa,Garissa Township,JP,Elected
"Hon. Duale, Mohamed Dahir",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/7ad1bc4bf40bceffc470ffe3aab1a249_M.jpg,Garissa,Dadaab,KANU,Elected
"Hon. Ekomwa, James Lomenen",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/30650c2c44cf5fecb793487c0d61c0ed_M.jpg,Turkana,Turkana South,JP,Elected
"Hon. Emanikor, Joyce Akai",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/8f7997ac35b97e9818117af746ef5397_M.jpg,Turkana,Turkana,JP,Elected
"Hon. Gaal, Ahmed Bashane",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/0269c2cf61824f126a7fc8ba28612eae_M.jpg,Wajir,Tarbaj,PDR,Elected
"Hon. Gachagua, Rigathi",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/8837262661355ba7f14bfb9ac2d34fd2_M.jpg,Nyeri,Mathira,JP,Elected
"Hon. Gachobe, Samuel Kinuthia",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/2338160a7cc88e5339f9d10742a77113_M.jpg,Nakuru,Subukia,JP,Elected
"Hon. Gakuya, James Mwangi",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/1538fa6a909fa10bd550ecd0c6ab5e72_M.jpg,Nairobi,Embakasi North,JP,Elected
"Hon. Gakuya, Mercy Wanjiku",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/a78794f1bdd8b2ecf8cb6e485934052c_M.jpg,Nairobi,Kasarani,JP,Elected
"Hon. Ganya, Francis Chachu",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/93c651dedbc07f5957173e5e55915d60_M.jpg,Marsabit,North Horr,FAP,Elected
"Hon. Garane, Mohamed Hire",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/53fda0f303c7d0c538d217dafcea2ab4_M.jpg,Garissa,Lagdera,KANU,Elected
"Hon. Ghati, Dennitah",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/6a50c9cc0f667726695a092dcb0e894b_M.jpg,N\/A,Nominated,ODM,Nominated
"Hon. Gikaria, David",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/140800f06a83a38cc18f4df3ed9abedb_M.jpg,Nakuru,Nakuru Town East,JP,Elected
"Hon. Gimose, Charles Gumini",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/1cc013b4b30bb2f3138b82c49b6ffbba_M.jpg,Vihiga,Hamisi,FORD-K,Elected
"Hon. Gitau, Faith Wairimu",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/d385f1097f2e54a09345d6a9db3c6508_M.jpg,Laikipia,Nyandarua,JP,Elected
"Hon. Githinji, Robert Gichimu",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/621e04774107f8d6d16119a4df4b377b_M.jpg,Kirinyaga,Gichugu,JP,Elected
"Hon. Gk, George Macharia Kariuki",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/87fe29ea5bfce46eb2c814a38cc656c1_M.jpg,Kirinyaga,Ndia,JP,Elected
"Hon. Gogo, Lilian Achieng",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/ea3f6af0bce488203091602f07eab688_M.jpg,Homa Bay,Rangwe,ODM,Elected
"Hon. Gure, Anab Mohamed",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/dacd8a0c118889e979828e974f4a232b_M.jpg,Garissa,Garissa,JP,Elected
"Hon. Guyo, Ali Wario",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/7e1dc8b9134f1e90b7387fabc1f747cc_M.jpg,Tana River,Garsen,WDM-K,Elected
"Hon. Hassan, Amina Gedow",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/7fa687df0b499f5d3357b01a278280e8_M.jpg,Mandera,Mandera,EFP,Elected
"Hon. Hassan, Kulow Maalim",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/da899b4f6aecd3b25897ae28f89b2f5e_M.jpg,Mandera,Banissa,EFP,Elected
"Hon. Hassan, Omar Mohamed Maalim",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/c865d8ec4e84a21ba22c5a0c805e56fc_M.jpg,Mandera,Mandera East,EFP,Elected
"Hon. Hassan, Rehema",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/c1fbba98d3e1826cc2ca4ec2fafee185_M.jpg,Tana River,Tana River,MCCP,Elected
"Hon. Hassan, Zuleikha Juma",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/bfed5da4e668e375c60eefa8cf381ee2_M.jpg,Kwale,Kwale,ODM,Elected
"Hon. Hiribae, Said Buya",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/107cc2f08833bc13b95a0891974ee1a9_M.jpg,Tana River,Galole,FORD-K,Elected
"Hon. Hulufo, Hassan Oda",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/c32747aadb20d65bf8931a58bf042d00_M.jpg,Isiolo,Isiolo North,KPP,Elected
"Hon. Ibrahim, Abdi Mude",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/08b1cd314c9fb06eec06f7bd0ea9dedc_M.jpg,Mandera,Lafey,EFP,Elected
