lat,commodity,price,date,location,units,lon
-1.2920659,White Maize,1500.00,2005-05-05,Nairobi,90 kg bag,36.8219462
-1.2920659,White Maize,1510.00,2005-06-06,Nairobi,90 kg bag,36.8219462
-1.2920659,White Maize,1480.00,2005-07-07,Nairobi,90 kg bag,36.8219462
-1.2920659,White Maize,1500.00,2005-08-08,Nairobi,90 kg bag,36.8219462
-1.2920659,White Maize,1200.00,2005-09-09,Nairobi,90 kg bag,36.8219462
-1.2920659,White Maize,1500.00,2005-10-10,Nairobi,90 kg bag,36.8219462
-1.2920659,White Maize,1550.00,2005-11-11,Nairobi,90 kg bag,36.8219462
-1.2920659,White Maize,1600.00,2005-12-12,Nairobi,90 kg bag,36.8219462
-1.2920659,White Maize,1399.00,2006-01-01,Nairobi,90 kg bag,36.8219462
-1.2920659,White Maize,1488.00,2006-02-02,Nairobi,90 kg bag,36.8219462
-1.2920659,White Maize,1500.00,2006-03-03,Nairobi,90 kg bag,36.8219462
-1.2920659,White Maize,1540.00,2006-04-04,Nairobi,90 kg bag,36.8219462
-1.2920659,White Maize,1624.76,2006-05-05,Nairobi,90 kg bag,36.8219462
-1.2920659,White Maize,1550.91,2006-06-06,Nairobi,90 kg bag,36.8219462
-1.2920659,White Maize,1690.67,2006-07-07,Nairobi,90 kg bag,36.8219462
-1.2920659,White Maize,1585.75,2006-08-08,Nairobi,90 kg bag,36.8219462
-1.2920659,White Maize,1278.00,2006-09-09,Nairobi,90 kg bag,36.8219462
-1.2920659,White Maize,1293.25,2006-10-10,Nairobi,90 kg bag,36.8219462
-1.2920659,White Maize,1273.60,2006-11-11,Nairobi,90 kg bag,36.8219462
-1.2920659,White Maize,1245.00,2006-12-12,Nairobi,90 kg bag,36.8219462
-1.2920659,White Maize,1337.50,2007-01-01,Nairobi,90 kg bag,36.8219462
-1.2920659,White Maize,1322.50,2007-02-02,Nairobi,90 kg bag,36.8219462
-1.2920659,White Maize,1193.80,2007-03-03,Nairobi,90 kg bag,36.8219462
-1.2920659,White Maize,1177.78,2007-04-04,Nairobi,90 kg bag,36.8219462
-1.2920659,White Maize,1242.86,2007-05-05,Nairobi,90 kg bag,36.8219462
-1.2920659,White Maize,1204.44,2007-06-06,Nairobi,90 kg bag,36.8219462
-1.2920659,White Maize,1215.91,2007-07-07,Nairobi,90 kg bag,36.8219462
-1.2920659,White Maize,1197.73,2007-08-08,Nairobi,90 kg bag,36.8219462
-1.2920659,White Maize,1238.68,2007-09-09,Nairobi,90 kg bag,36.8219462
-1.2920659,White Maize,1229.32,2007-10-10,Nairobi,90 kg bag,36.8219462
-1.2920659,White Maize,1235.45,2007-11-11,Nairobi,90 kg bag,36.8219462
-1.2920659,White Maize,1069.17,2007-12-12,Nairobi,90 kg bag,36.8219462
-1.2920659,White Maize,1347.00,2008-01-01,Nairobi,90 kg bag,36.8219462
-1.2920659,White Maize,1340.00,2008-02-02,Nairobi,90 kg bag,36.8219462
-1.2920659,White Maize,1419.00,2008-03-03,Nairobi,90 kg bag,36.8219462
-1.2920659,White Maize,1516.00,2008-04-04,Nairobi,90 kg bag,36.8219462
-1.2920659,White Maize,1920.00,2008-05-05,Nairobi,90 kg bag,36.8219462
-1.2920659,White Maize,2165.00,2008-06-06,Nairobi,90 kg bag,36.8219462
-1.2920659,White Maize,1933.00,2008-07-07,Nairobi,90 kg bag,36.8219462
-1.2920659,White Maize,2081.00,2008-08-08,Nairobi,90 kg bag,36.8219462
-1.2920659,White Maize,2083.00,2008-09-09,Nairobi,90 kg bag,36.8219462
-1.2920659,White Maize,2469.00,2008-10-10,Nairobi,90 kg bag,36.8219462
